Chromosome	Start.bp	End.bp	n_probes	length	n_hets	f	tau	sigma.tau	mu.minor	sigma.minor	mu.major	sigma.major	SegLabelCNLOH	V15	NB	NA_CCF	NB_CCF	purity	ploidy	gender	CCN	IS_SCNA	cn_minor	cn_major	cn_sigma.minor	cn_sigma.major	cn_clusterA	cn_minor_cluster	cn_minor_sigma_cluster	cn_clusterB	cn_major_cluster	cn_major_sigma_cluster	cn_ploidy	DeltaCR	averageCR	zeroCR
6	32427500	32602500	18	175000	58	0.006913657	2.004765	0.041227	0.01386026	0.027204	1.990905	0.027204	1		4		0.7457561	0.49	2.05	F	2	1	-1.012204	3.048438	0.055882	0.055882	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
6	32652500	32707500	9	55000	10	0.3224778	2.02697	0.053122	0.6536527	0.191168	1.373317	0.191168	1	0	0	0	0	0.49	2.05	F	2	0	0.301862	1.779978	0.392693	0.392693	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
6	32712500	170897500	22015	138185000	10144	0.5	2.005126	0.025018	1.002563	0.025009	1.002563	0.025009	2	0	0	0	0	0.49	2.05	F	2	0	1.018488	1.018488	0.051374	0.051374	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
7	52500	56557500	9671	56505000	5140	0.5	2.01121	0.02504	1.005605	0.025041	1.005605	0.025041	2	0	0	0	0	0.49	2.05	F	2	0	1.024736	1.024736	0.051438	0.051438	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
7	56562500	61792500	223	5230000	86	0.4877931	2.054094	0.026759	1.001973	0.062258	1.052121	0.062258	1	0	0	0	0	0.49	2.05	F	2	0	1.017276	1.120275	0.127888	0.127888	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
7	61797500	158817500	15424	97020000	6398	0.5	2.008209	0.025025	1.004104	0.025026	1.004104	0.025026	2	0	0	0	0	0.49	2.05	F	2	0	1.021654	1.021654	0.051409	0.051409	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
8	172500	2127500	329	1955000	258	0.4999221	2.002194	0.026147	1.000941	0.030003	1.001253	0.030003	2	0	0	0	0	0.49	2.05	F	2	0	1.015157	1.015797	0.061632	0.061632	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
8	2202500	2322500	24	120000	10	0.5	1.93847	0.037134	0.969235	0.11304	0.969235	0.11304	2	0	0	0	0	0.49	2.05	F	2	0	0.950036	0.950036	0.232204	0.232204	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
8	2352500	2572500	43	220000	40	0.3436881	2.943175	0.039877	1.011534	0.077214	1.931641	0.077214	2	0	4	0	0.7457561	0.49	2.05	F	2	1	1.036914	2.926716	0.158611	0.158611	4	0.998441	0.114312	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
8	2597500	53362500	8048	50765000	3808	0.5	2.000321	0.025048	1.00016	0.025126	1.00016	0.025126	2	0	0	0	0	0.49	2.05	F	2	0	1.013553	1.013553	0.051614	0.051614	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
8	53377500	53432500	12	55000	16	0.3239235	2.914936	0.063386	0.9442161	0.125553	1.97072	0.125553	2	0	3	0	1	0.49	2.05	F	2	1	0.898649	3.006981	0.257909	0.257909	4	0.998441	0.114312	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
8	53447500	146272500	15143	92825000	6731	0.5	1.999476	0.025025	0.9997378	0.025028	0.999738	0.025028	2	0	0	0	0	0.49	2.05	F	2	0	1.012685	1.012685	0.051411	0.051411	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
9	207500	1332500	216	1125000	142	0.5	2.005498	0.026732	1.002749	0.032309	1.002749	0.032309	2	0	0	0	0	0.49	2.05	F	2	0	1.01887	1.01887	0.066368	0.066368	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
9	1342500	1352500	3	10000	3	0	2.021238	0.084728	0	0.133816	2.021238	0.133816	1		3		1	0.49	2.05	F	2	1	-1.040672	3.110739	0.274881	0.274881	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
9	1357500	129357500	16449	128000000	7102	0.4999988	1.998419	0.025023	0.9992072	0.025027	0.999212	0.025027	2	0	0	0	0	0.49	2.05	F	2	0	1.011595	1.011605	0.05141	0.05141	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
9	129362500	132182500	551	2820000	91	0.4999854	2.026183	0.025707	1.013062	0.036767	1.013121	0.036767	2	0	0	0	0	0.49	2.05	F	2	0	1.040052	1.040173	0.075527	0.075527	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
9	132187500	132202500	4	15000	13	8.164309e-24	1.905815	0.070702	1.555966e-23	0.02646	1.905815	0.02646	2		4		0.7457561	0.49	2.05	F	2	1	-1.040672	2.873673	0.054353	0.054353	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
9	132207500	136872500	868	4665000	339	0.5	2.002983	0.025441	1.001491	0.027031	1.001491	0.027031	2	0	0	0	0	0.49	2.05	F	2	0	1.016287	1.016287	0.055526	0.055526	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
9	136882500	136962500	15	80000	8	0.07014525	2.043507	0.044324	0.1433423	0.082101	1.900164	0.082101	0		4		0.7457561	0.49	2.05	F	2	1	-0.746262	2.862067	0.16865	0.16865	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
9	136967500	140267500	607	3300000	291	0.5	2.01549	0.025636	1.007745	0.026493	1.007745	0.026493	2	0	0	0	0	0.49	2.05	F	2	0	1.029131	1.029131	0.054422	0.054422	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
10	102500	39192500	6847	39090000	3197	0.5	2.018274	0.025057	1.009137	0.025177	1.009137	0.025177	2	0	0	0	0	0.49	2.05	F	2	0	1.03199	1.03199	0.051718	0.051718	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
10	39202500	42602500	113	3400000	34	0.5	2.874011	0.03123	1.437006	0.050699	1.437006	0.050699	2	2	0	1	0	0.49	2.05	F	2	1	1.910788	1.910788	0.104146	0.104146	2	1.911789	0.108981	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
10	42612500	42812500	33	200000	8	0.04815981	1.982827	0.03462	0.09549256	0.066723	1.887334	0.066723	1		4		0.7457561	0.49	2.05	F	2	1	-0.84454	2.835715	0.137061	0.137061	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
10	42817500	135372500	15517	92555000	6286	0.5	2.013992	0.025025	1.006996	0.025036	1.006996	0.025036	2	0	0	0	0	0.49	2.05	F	2	0	1.027593	1.027593	0.051429	0.051429	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
11	187500	50062500	8269	49875000	3993	0.5	2.010958	0.025047	1.005479	0.02506	1.005479	0.02506	2	0	0	0	0	0.49	2.05	F	2	0	1.024477	1.024477	0.051477	0.051477	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
11	50097500	50777500	120	680000	218	0.355386	2.893446	0.030973	1.02829	0.038995	1.865156	0.038995	2	0	4	0	0.7457561	0.49	2.05	F	2	1	1.071329	2.790164	0.080103	0.080103	4	0.998441	0.114312	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
11	51202500	134447500	13855	83245000	6075	0.5	2.013574	0.025028	1.006787	0.025025	1.006787	0.025025	2	0	0	0	0	0.49	2.05	F	2	0	1.027163	1.027163	0.051406	0.051406	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
12	92500	31257500	5344	31165000	2592	0.5	2.011189	0.025073	1.005594	0.025118	1.005594	0.025118	2	0	0	0	0	0.49	2.05	F	2	0	1.024714	1.024714	0.051597	0.051597	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
12	31272500	31382500	7	110000	12	0.2235493	1.995783	0.058	0.446156	0.112932	1.549627	0.112932	0	0	0	0	0	0.49	2.05	F	2	0	-0.124314	2.1421	0.231983	0.231983	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
12	31387500	34817500	615	3430000	373	0.5	2.006621	0.025622	1.00331	0.026534	1.00331	0.026534	2	0	0	0	0	0.49	2.05	F	2	0	1.020023	1.020023	0.054505	0.054505	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
12	34832500	38127500	33	3295000	62	0.4906289	2.382329	0.038091	1.168839	0.065911	1.21349	0.065911	2	2	0	0.373228	0	0.49	2.05	F	2	1	1.360002	1.451709	0.135392	0.135392	3	1.373228	0.168195	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
12	38137500	131722500	15869	93585000	6431	0.5	2.01142	0.025025	1.00571	0.025031	1.00571	0.025031	2	0	0	0	0	0.49	2.05	F	2	0	1.024951	1.024951	0.051417	0.051417	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
12	131737500	131827500	13	90000	1	0.1421154	1.100228	0.03284	0.1563594	0.183177	0.943869	0.183177	2		0		0	0.49	2.05	F	2	0	-0.719526	0.897936	0.376278	0.376278	1	-1.033003	0.145554	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
12	131837500	132347500	88	510000	34	0.4999707	2.004297	0.029064	1.00209	0.040486	1.002207	0.040486	2	0	0	0	0	0.49	2.05	F	2	0	1.017516	1.017757	0.083166	0.083166	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
13	19822500	23527500	638	3705000	373	0.499978	1.608301	0.025389	0.8041153	0.026195	0.804186	0.026195	2	0	0	0	0	0.49	2.05	F	2	0	0.610897	0.611042	0.053809	0.053809	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
13	23537500	23557500	5	20000	7	0.1143757	1.7443	0.059667	0.1995055	0.132795	1.544795	0.132795	2		0		0	0.49	2.05	F	2	0	-0.630908	2.132176	0.272785	0.272785	1	-1.033003	0.145554	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
13	23562500	24957500	268	1395000	111	0.4522917	1.60652	0.025914	0.7266155	0.083201	0.879904	0.083201	2	0	0	0	0	0.49	2.05	F	2	0	0.45172	0.76656	0.17091	0.17091	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
13	24962500	25032500	11	70000	6	0	1.64621	0.042597	0	0.056448	1.64621	0.056448	1		0		0	0.49	2.05	F	2	0	-1.040672	2.340472	0.115955	0.115955	1	-1.033003	0.145554	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
13	25037500	114137500	13384	89100000	6565	0.499921	1.615442	0.025019	0.8075936	0.025201	0.807849	0.025201	2	0	0	0	0	0.49	2.05	F	2	0	0.618041	0.618565	0.051768	0.051768	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
14	19792500	41292500	3377	21500000	1498	0.4999974	1.97578	0.025111	0.9878849	0.025256	0.987895	0.025256	2	0	0	0	0	0.49	2.05	F	2	0	0.988341	0.988362	0.05188	0.05188	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
14	41297500	41762500	41	465000	3	0	1.970127	0.032875	0	0.341623	1.970127	0.341623	1		3		1	0.49	2.05	F	2	1	-1.040672	3.005764	0.701755	0.701755	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
14	41772500	106307500	11204	64535000	4529	0.4999976	1.958933	0.025033	0.9794619	0.025049	0.979471	0.025049	2	0	0	0	0	0.49	2.05	F	2	0	0.971041	0.97106	0.051454	0.051454	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
15	20852500	22587500	77	1735000	1	0.5	1.411012	0.02739	0.7055058	0.154139	0.705506	0.154139	2	0	0	0	0	0.49	2.05	F	2	0	0.408363	0.408363	0.316629	0.316629	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
15	22752500	34667500	1747	11915000	752	0.5	2.019275	0.025224	1.009637	0.025671	1.009637	0.025671	2	0	0	0	0	0.49	2.05	F	2	0	1.033018	1.033018	0.052734	0.052734	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
15	34882500	100332500	11655	65450000	4563	0.4999963	2.006746	0.025033	1.003366	0.025046	1.003381	0.025046	2	0	0	0	0	0.49	2.05	F	2	0	1.020136	1.020167	0.051448	0.051448	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
16	92500	32137500	5461	32045000	2346	0.5	1.98842	0.02507	0.9942099	0.025203	0.99421	0.025203	2	0	0	0	0	0.49	2.05	F	2	0	1.001331	1.001331	0.051772	0.051772	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
16	32957500	33367500	16	410000	1	0.5	2.090524	0.044033	1.045262	0.183424	1.045262	0.183424	2	0	0	0	0	0.49	2.05	F	2	0	1.106187	1.106187	0.376785	0.376785	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
16	33377500	33772500	57	395000	1	0.5	2.45799	0.033672	1.228995	0.195097	1.228995	0.195097	2	0	0	0	0	0.49	2.05	F	2	0	1.483555	1.483555	0.400763	0.400763	3	1.373228	0.168195	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
16	33827500	34202500	44	375000	17	3.182685e-08	2.132044	0.033494	6.785627e-08	0.02737	2.132044	0.02737	2		4		0.7457561	0.49	2.05	F	2	1	-1.040672	3.338325	0.056222	0.056222	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
16	34207500	35212500	169	1005000	13	0.4999356	2.011021	0.027206	1.005381	0.069502	1.00564	0.069502	2	0	0	0	0	0.49	2.05	F	2	0	1.024275	1.024807	0.142769	0.142769	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
16	35217500	46852500	143	11635000	3	0	2.093021	0.027791	0	0.060174	2.093021	0.060174	2		4		0.7457561	0.49	2.05	F	2	1	-1.040672	3.258174	0.123609	0.123609	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
16	46857500	78647500	5560	31790000	2046	0.4999881	2.006218	0.02507	1.003085	0.025176	1.003133	0.025176	2	0	0	0	0	0.49	2.05	F	2	0	1.019561	1.019659	0.051715	0.051715	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
16	78662500	78832500	32	170000	25	0.4809026	1.590695	0.031733	0.7649693	0.069199	0.825726	0.069199	2	0	0	0	0	0.49	2.05	F	2	0	0.530495	0.655282	0.142148	0.142148	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
16	78842500	88822500	1885	9980000	1147	0.5	2.013525	0.025206	1.006762	0.02544	1.006763	0.02544	2	0	0	0	0	0.49	2.05	F	2	0	1.027113	1.027113	0.052258	0.052258	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
17	7500	16592500	3052	16585000	1325	0.4999766	1.93821	0.025118	0.9690595	0.025373	0.96915	0.025373	2	0	0	0	0	0.49	2.05	F	2	0	0.949675	0.949861	0.05212	0.05212	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
17	16762500	22242500	831	5480000	188	0.4999419	1.865139	0.0254	0.9324614	0.028814	0.932678	0.028814	2	0	0	0	0	0.49	2.05	F	2	0	0.874506	0.874951	0.05919	0.05919	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
17	25397500	44202500	3430	18805000	974	0.4999984	2.00524	0.025113	1.002617	0.025483	1.002623	0.025483	2	0	0	0	0	0.49	2.05	F	2	0	1.018599	1.018612	0.052346	0.052346	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
17	44792500	78772500	6154	33980000	2347	0.5	2.003197	0.025063	1.001598	0.025134	1.001598	0.025134	2	0	0	0	0	0.49	2.05	F	2	0	1.016506	1.016506	0.05163	0.05163	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
18	52500	15407500	2652	15355000	1338	0.5	2.006708	0.025146	1.003354	0.02528	1.003354	0.02528	2	0	0	0	0	0.49	2.05	F	2	0	1.020112	1.020113	0.05193	0.05193	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
18	15602500	76112500	9455	60510000	4565	0.5	2.011092	0.025041	1.005546	0.025063	1.005546	0.025063	2	0	0	0	0	0.49	2.05	F	2	0	1.024615	1.024615	0.051484	0.051484	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
19	267500	20497500	3842	20230000	1350	0.5	2.019398	0.025102	1.009699	0.025279	1.009699	0.025279	2	0	0	0	0	0.49	2.05	F	2	0	1.033145	1.033145	0.051927	0.051927	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
19	20727500	21677500	168	950000	30	0.5	1.997934	0.027191	0.9989668	0.044674	0.998967	0.044674	2	0	0	0	0	0.49	2.05	F	2	0	1.011102	1.011102	0.091769	0.091769	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
19	21682500	21767500	18	85000	15	5.201003e-07	2.147247	0.043089	1.116784e-06	0.027677	2.147246	0.027677	2		4		0.7457561	0.49	2.05	F	2	1	-1.04067	3.369547	0.056853	0.056853	1	-1.033003	0.145554	1	3.237268	0.207107	2.050284	0.486812	1.005664	0.506682
19	21772500	24602500	501	2830000	184	0.5	2.005959	0.025762	1.002979	0.02818	1.002979	0.02818	2	0	0	0	0	0.49	2.05	F	2	0	1.019343	1.019343	0.057887	0.057887	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
19	27867500	59092500	5827	31225000	2326	0.4999969	2.019729	0.025067	1.009858	0.025189	1.009871	0.025189	2	0	0	0	0	0.49	2.05	F	2	0	1.033471	1.033497	0.051744	0.051744	4	0.998441	0.114312	2	1.045891	0.218386	2.050284	0.486812	1.005664	0.506682
